date;India;United Kingdom;US;Germany;Italy;Canada;Spain
2020-04-06;4778;66738;367215;103374;132547;16563;136675
2020-04-07;5311;72224;397992;107663;135586;17872;141942
2020-04-08;5916;77387;429686;113296;139422;19141;148220
2020-04-09;6725;82293;464442;118181;143626;20654;153222
2020-04-10;7598;86660;497943;122171;147577;22059;158273
2020-04-11;8446;90273;527969;124908;152271;23316;163027
2020-04-12;9205;93812;556522;127854;156363;24299;166831
2020-04-13;10453;98017;581813;130072;159516;25680;170099
2020-04-14;11487;102365;608878;131359;162488;27035;172541
2020-04-15;12322;107465;637974;134753;165155;28209;177644
2020-04-16;13430;112808;669272;137698;168941;30809;184948
2020-04-17;14352;117798;701996;141397;172434;32814;190839
2020-04-18;15722;122534;730337;143342;175925;34356;191726
2020-04-19;17615;126394;756375;145184;178972;35633;198674
2020-04-20;18539;131260;783716;147065;181228;37658;200210
2020-04-21;20080;136035;809318;148291;183957;39402;204178
2020-04-22;21370;141540;837422;150648;187327;41663;208389
2020-04-23;23077;146708;871617;153129;189973;43299;213024
2020-04-24;24530;151689;907908;154999;192994;44919;202990
2020-04-25;26283;155453;940829;156513;195351;46371;205905
2020-04-26;27890;158926;968518;157770;197675;48033;207634
2020-04-27;29451;163630;990983;158758;199414;49616;209465
2020-04-28;31324;168357;1015518;159912;201505;51150;210773
2020-04-29;33062;173807;1043038;161539;203591;52865;212917
2020-04-30;34863;178771;1072667;163009;205463;54457;213435
2020-05-01;37257;183501;1106829;164077;207428;56343;215216
2020-05-02;39699;186731;1136024;164967;209328;57926;216582
2020-05-03;42505;189708;1161611;165664;210717;60504;217466
2020-05-04;46437;193091;1184086;166152;211938;61957;218011
2020-05-05;49400;196780;1208271;167007;213013;63215;219329
2020-05-06;52987;200616;1233527;168162;214457;64694;220325
2020-05-07;56351;204387;1261409;169430;215858;66201;221447
2020-05-08;59695;207439;1288587;170588;217185;67674;222857
2020-05-09;62808;209589;1314320;171324;218268;68918;223578
2020-05-10;67161;211911;1334084;171879;219070;70091;224350
2020-05-11;70768;215500;1352962;172576;219814;71264;227436
2020-05-12;74292;218895;1375152;173171;221216;72419;228030
2020-05-13;78055;222195;1396110;174098;222104;73568;228691
2020-05-14;81997;224813;1423727;174478;223096;74781;229540
2020-05-15;85784;227334;1449027;175233;223885;75959;230183
2020-05-16;90648;229406;1474128;175752;224760;77206;230698
2020-05-17;95698;231232;1493132;176369;225435;78332;230698
2020-05-18;100328;233809;1514901;176551;225886;79411;231606
2020-05-19;106475;236867;1535350;177778;226699;80493;232037
2020-05-20;112028;239579;1559157;178473;227364;81575;232555
2020-05-21;118226;242133;1584512;179021;228006;82742;233037
2020-05-22;124794;244174;1608653;179710;228658;83947;234824
2020-05-23;131423;245682;1630476;179986;229327;85151;235290
2020-05-24;138536;247037;1651289;180328;229858;86106;235772
2020-05-25;144950;248650;1670280;180600;230158;87119;235400
2020-05-26;150793;250309;1689163;181200;230555;88090;236259
2020-05-27;158086;252118;1707445;181524;231139;88989;236259
2020-05-28;165386;253854;1730260;182196;231732;89976;237906
2020-05-29;173491;255362;1754764;182922;232248;90909;238564
2020-05-30;181827;256469;1779214;183189;232664;91681;239228
2020-05-31;190609;257539;1799124;183410;232997;92479;239479
2020-06-01;198370;258983;1816479;183594;233197;93288;239638
2020-06-02;207191;260453;1837374;183879;233515;93960;239932
2020-06-03;216824;261802;1857332;184121;233836;94641;240326
2020-06-04;226713;263040;1878683;184472;234013;95269;240660
2020-06-05;236184;264150;1903907;184924;234531;95947;240978
2020-06-06;246622;264944;1926639;185450;234801;96475;241310
2020-06-07;257486;265662;1944370;185750;234998;97178;241550
2020-06-08;265928;266756;1961785;186109;235278;97779;241717
2020-06-09;276146;267915;1979912;186506;235561;98241;241966
2020-06-10;286605;269101;2000706;186522;235763;98720;242280
2020-06-11;297535;270108;2023656;186691;236142;99159;242707
2020-06-12;308993;271162;2048986;187226;236305;99595;243209
2020-06-13;320922;272050;2074542;187267;236651;100043;243605
2020-06-14;332424;272857;2094366;187518;236989;100404;243928
2020-06-15;343091;273888;2114026;187682;237290;100763;244109
2020-06-16;354065;274971;2137731;188252;237500;101087;244328
2020-06-17;366946;275970;2163290;188604;237828;101491;244683
2020-06-18;380532;276990;2191099;189817;238159;101877;245268
2020-06-19;395048;277974;2222579;190299;238011;102314;245575
2020-06-20;410451;278640;2255328;190670;238275;102762;245938
2020-06-21;425282;279264;2281767;191272;238499;103078;246272
2020-06-22;440215;280156;2312303;191768;238720;103418;246504
2020-06-23;456183;281038;2347491;192480;238833;103767;246752
2020-06-24;473105;281815;2382426;192871;239410;104087;247086
2020-06-25;490401;282512;2422299;193371;239706;104463;247486
2020-06-26;508953;283151;2467554;194036;239961;104629;247905
2020-06-27;528859;283785;2510259;194458;240136;104878;248469
2020-06-28;548318;284192;2549864;194693;240310;105193;248770
2020-06-29;566840;284812;2590668;195042;240436;105830;248970
2020-06-30;585481;285216;2636414;195418;240578;106097;249271
2020-07-01;604641;285279;2687588;195893;240760;106288;249659
2020-07-02;625544;285285;2742049;196370;240961;106643;250103
2020-07-03;648315;285787;2795361;196780;241184;106962;250545
2020-07-04;673165;286412;2841241;197198;241419;107185;250545
2020-07-05;697413;286931;2891124;197523;241611;107394;250545
2020-07-06;719664;287290;2936077;198064;241819;107815;251789
2020-07-07;742417;287874;2996098;198343;241956;108023;252130
2020-07-08;767296;288511;3054699;198699;242149;108334;252513
2020-07-09;793802;289154;3117946;199001;242363;108656;253056
2020-07-10;820916;289678;3185737;199332;242639;108984;253908
2020-07-11;849522;290504;3245925;199709;242827;109150;253908
2020-07-12;878254;291154;3304942;199919;243061;109348;253908
2020-07-13;906752;291691;3364157;200180;243230;109984;255953
2020-07-14;936181;292931;3431574;200456;243344;110350;256619
2020-07-15;968857;293469;3498902;200890;243506;110693;257494
2020-07-16;1003832;294116;3576157;201450;243736;111144;258855
2020-07-17;1039084;294803;3647715;202045;243967;111559;260255
2020-07-18;1077781;295632;3711413;202426;244216;111875;260255
2020-07-19;1118206;296358;3773260;202735;244434;112168;260255
2020-07-20;1155338;296944;3834677;203325;244624;112938;264836
2020-07-21;1193078;297389;3899211;203717;244752;113473;266194
2020-07-22;1238798;297952;3970121;204276;245032;113790;267551
2020-07-23;1288108;298731;4038816;204881;245338;114398;270166
2020-07-24;1337024;299500;4112531;205623;245590;115115;272421
2020-07-25;1385635;300270;4178970;206278;245864;115470;272421
2020-07-26;1435616;301020;4233923;206667;246118;115789;272421
2020-07-27;1480073;301708;4290337;207112;246286;116471;278782
2020-07-28;1531669;302261;4356206;207707;246488;116871;280610
2020-07-29;1581963;303063;4426982;208546;246776;117357;282641
2020-07-30;1634746;303910;4495015;209535;247158;117677;285430
2020-07-31;1695988;304793;4562107;210399;247537;118281;288522
2020-08-01;1750723;305562;4620592;211005;247832;118523;288522
2020-08-02;1803695;306309;4668172;211220;248070;118768;288522
2020-08-03;1855745;307251;4713540;212111;248229;118973;297054
2020-08-04;1908254;307926;4771080;212828;248419;119659;302814
2020-08-05;1964536;308832;4823890;214113;248803;120033;305767
2020-08-06;2027074;309796;4883582;215039;249204;120387;309855
2020-08-07;2088611;310696;4941755;216196;249756;120903;314362
2020-08-08;2153010;311461;4997929;216903;250103;121148;314362
2020-08-09;2215074;312574;5044864;217288;250566;121367;314362
2020-08-10;2268675;313392;5094400;218508;250825;122053;322980
2020-08-11;2329638;314542;5141208;219540;251237;122389;326612
2020-08-12;2396637;315581;5197411;220859;251713;122703;329784
2020-08-13;2461190;316729;5248958;222281;252235;123180;337334
2020-08-14;2525922;318190;5313252;223791;252809;123605;342813
2020-08-15;2589952;319232;5361165;224488;253438;123825;342813
2020-08-16;2647663;320343;5403213;225007;253915;124004;342813
2020-08-17;2702681;321064;5438325;226700;254235;124218;359082
2020-08-18;2767253;322177;5482416;228120;254636;125084;364196
2020-08-19;2836925;323008;5529824;229706;255278;125408;370867
2020-08-20;2905825;324203;5573847;231292;256118;125625;377906
2020-08-21;2975701;325263;5622540;233029;257065;126319;386054
2020-08-22;3044940;326595;5667112;233861;258136;126560;386054
